CVE-ID,repoName,result
CVE-2020-27673,LDD-LinuxDeviceDrivers,FP
CVE-2009-3245,Entware,FP
CVE-2020-10188,ravynos,TP
CVE-2020-24371,ravynos,FP
CVE-2020-24370,ravynos,TP
CVE-2020-15945,ravynos,FP
CVE-2014-0064,ravynos,FP
CVE-2018-12207,ravynos,FP
CVE-2016-7940,ravynos,FP
CVE-2016-7992,ravynos,FP
CVE-2019-1549,ravynos,FP
CVE-2018-17160,ravynos,FP
CVE-2014-8613,ravynos,FP
CVE-2012-0884,ravynos,FP
CVE-2022-29859,ravynos,FP
CVE-2022-42898,ravynos,FP
CVE-2016-4952,qemu,FP
CVE-2022-29859,qemu,FP
CVE-2020-24371,clink,FP
CVE-2020-24370,clink,TP
CVE-2020-15945,clink,FP
CVE-2017-12993,PF_RING,FP
CVE-2016-7940,PF_RING,FP
CVE-2023-1801,PF_RING,TP
CVE-2021-33657,permafrost-engine,TP
CVE-2011-4619,sl4a,TP
CVE-2011-4577,sl4a,TP
CVE-2015-3195,sl4a,TP
CVE-2016-0799,sl4a,FP
CVE-2011-3210,sl4a,TP
CVE-2014-3508,sl4a,TP
CVE-2018-0739,sl4a,TP
CVE-2015-0206,sl4a,TP
CVE-2014-8275,sl4a,TP
CVE-2012-2110,sl4a,TP
CVE-2012-2333,sl4a,TP
CVE-2022-29859,sl4a,FP
CVE-2021-46822,UVCCamera,TP
CVE-2007-6600,sqlite,FP
CVE-2020-14147,nexmon,TP
CVE-2020-27673,nexmon,FP
CVE-2016-7940,nexmon,FP
CVE-2016-7992,nexmon,FP
CVE-2018-0739,nexmon,TP
CVE-2022-23308,nexmon,TP
CVE-2023-1801,nexmon,TP
CVE-2022-29859,nexmon,FP
CVE-2022-0521,nexmon,FP
CVE-2012-2799,rt-n56u,FP
CVE-2012-2800,rt-n56u,TP
CVE-2020-24371,rt-n56u,FP
CVE-2020-24370,rt-n56u,TP
CVE-2020-15945,rt-n56u,FP
CVE-2020-12652,rt-n56u,TP
CVE-2020-25669,rt-n56u,TP
CVE-2020-11609,rt-n56u,TP
CVE-2020-28097,rt-n56u,TP
CVE-2020-11668,rt-n56u,TP
CVE-2020-27673,rt-n56u,FP
CVE-2015-1350,rt-n56u,TP
CVE-2022-23039,rt-n56u,TP
CVE-2020-25656,rt-n56u,TP
CVE-2019-11833,rt-n56u,TP
CVE-2018-10853,rt-n56u,TP
CVE-2018-1000004,rt-n56u,TP
CVE-2018-1093,rt-n56u,TP
CVE-2014-0064,rt-n56u,FP
CVE-2015-7236,rt-n56u,FP
CVE-2018-10876,rt-n56u,TP
CVE-2018-10882,rt-n56u,TP
CVE-2017-7518,rt-n56u,FP
CVE-2016-7039,rt-n56u,TP
CVE-2017-2583,rt-n56u,TP
CVE-2012-4398,rt-n56u,TP
CVE-2006-4145,rt-n56u,FP
CVE-2016-3137,rt-n56u,TP
CVE-2022-36044,rt-n56u,FP
CVE-2022-3586,rt-n56u,TP
CVE-2023-2019,rt-n56u,FP
CVE-2022-3424,rt-n56u,TP
CVE-2022-29859,rt-n56u,FP
CVE-2022-3341,rt-n56u,TP
CVE-2022-2318,rt-n56u,TP
CVE-2023-2513,rt-n56u,TP
CVE-2022-42703,rt-n56u,TP
CVE-2023-3022,rt-n56u,TP
CVE-2022-28796,rt-n56u,FP
CVE-2022-1974,rt-n56u,TP
CVE-2009-3245,openwrt,FP
CVE-2022-26530,sway,FP
CVE-2017-12993,tcpdump,FP
CVE-2016-7940,tcpdump,FP
CVE-2012-2799,small-video-record,TP
CVE-2014-0064,vifm,FP
