CVE-ID,repoName,result
CVE-2017-12993,ravynos,FP
CVE-2020-15945,ravynos,FP
CVE-2020-24370,ravynos,TP
CVE-2014-5207,linux,FP
CVE-2012-1179,linux,FP
CVE-2015-6937,linux,FP
CVE-2015-8543,linux,FP
CVE-2020-36279,tess-two,TP
CVE-2020-11068,TencentOS-tiny,TP
CVE-2020-15945,MLN,FP
CVE-2020-24370,MLN,TP
CVE-2015-5224,android_bootable_recovery,TP
CVE-2017-12993,PF_RING,FP
CVE-2017-13037,minix,TP
CVE-2017-13010,minix,TP
CVE-2013-0166,minix,FP
CVE-2017-13039,minix,TP
CVE-2020-24371,minix,FP
CVE-2017-12985,minix,TP
CVE-2017-12993,minix,TP
CVE-2017-13030,minix,TP
CVE-2017-12898,minix,TP
CVE-2017-13014,minix,TP
CVE-2017-12897,minix,TP
CVE-2017-13013,minix,TP
CVE-2017-12990,minix,TP
CVE-2017-13690,minix,TP
CVE-2017-13052,minix,TP
CVE-2020-15945,minix,FP
CVE-2014-8275,minix,FP
CVE-2020-24370,minix,TP
CVE-2017-13003,minix,TP
CVE-2017-13022,minix,TP
CVE-2015-0204,minix,FP
CVE-2021-21309,magma,TP
CVE-2020-24371,BizHawk,FP
CVE-2020-15945,BizHawk,FP
CVE-2020-24371,ejoy2d,FP
CVE-2020-15945,ejoy2d,FP
CVE-2020-24370,ejoy2d,TP
CVE-2014-0064,gpdb,FP
CVE-2020-24371,premake-core,FP
CVE-2020-15945,premake-core,FP
CVE-2020-24370,premake-core,TP
CVE-2021-21309,RedisGraph,TP
CVE-2020-11724,tengine,TP
CVE-2020-15945,emscripten,FP
CVE-2020-24370,emscripten,TP
CVE-2017-12993,tcpdump,FP
CVE-2021-21309,sds,FP
CVE-2016-3137,rt-n56u,TP
CVE-2020-11609,rt-n56u,TP
CVE-2014-5207,rt-n56u,FP
CVE-2012-1179,rt-n56u,FP
CVE-2020-12652,rt-n56u,TP
CVE-2015-6937,rt-n56u,FP
CVE-2020-11608,rt-n56u,TP
CVE-2015-7513,rt-n56u,TP
CVE-2014-0196,rt-n56u,FP
CVE-2020-27675,rt-n56u,FP
CVE-2015-8543,rt-n56u,FP
CVE-2020-15945,rt-n56u,FP
CVE-2020-24370,rt-n56u,TP
CVE-2020-24371,mjolnir,FP
CVE-2020-15945,mjolnir,FP
CVE-2020-24370,mjolnir,TP
CVE-2021-21309,cosmopolitan,FP
CVE-2021-21309,nchan,TP
CVE-2017-13037,AdAway,TP
CVE-2017-13010,AdAway,TP
CVE-2017-13039,AdAway,TP
CVE-2017-12985,AdAway,TP
CVE-2017-12993,AdAway,TP
CVE-2017-13030,AdAway,TP
CVE-2017-12898,AdAway,TP
CVE-2017-13014,AdAway,TP
CVE-2017-12897,AdAway,TP
CVE-2017-13013,AdAway,TP
CVE-2017-12990,AdAway,TP
CVE-2017-13690,AdAway,TP
CVE-2017-13052,AdAway,TP
CVE-2017-13003,AdAway,TP
CVE-2017-13022,AdAway,TP
CVE-2017-12898,src,FP
CVE-2014-8275,src,FP
CVE-2015-0288,src,FP
CVE-2021-21309,hiredis,FP
CVE-2021-21309,zimg,FP
CVE-2015-1792,CloverBootloader,TP
CVE-2013-0166,CloverBootloader,FP
CVE-2014-3508,CloverBootloader,TP
CVE-2014-8275,CloverBootloader,TP
CVE-2015-5224,Team-Win-Recovery-Project,TP
CVE-2014-0064,pipelinedb,FP
CVE-2014-0064,PolarDB-for-PostgreSQL,FP
CVE-2021-21309,redis,FP
CVE-2020-24371,RetroArch,FP
CVE-2020-15945,RetroArch,FP
CVE-2020-24370,RetroArch,TP
CVE-2021-21309,redis-3.0-annotated,FP
CVE-2020-14147,redis-3.0-annotated,TP
CVE-2020-24371,xLua,FP
CVE-2020-15945,xLua,FP
CVE-2020-24370,xLua,TP
CVE-2020-24371,wcc,FP
CVE-2020-15945,wcc,FP
CVE-2020-24370,wcc,TP
CVE-2017-12993,freebsd-src,FP
CVE-2020-15945,freebsd-src,FP
CVE-2020-24370,freebsd-src,TP
CVE-2016-3137,fastsocket,TP
CVE-2020-11609,fastsocket,TP
CVE-2014-5207,fastsocket,FP
CVE-2012-1179,fastsocket,FP
CVE-2020-12652,fastsocket,TP
CVE-2015-6937,fastsocket,FP
CVE-2020-11608,fastsocket,TP
CVE-2015-8543,fastsocket,TP
CVE-2015-5307,fastsocket,TP
CVE-2015-7513,fastsocket,TP
CVE-2014-0196,fastsocket,TP
CVE-2015-8104,fastsocket,TP
CVE-2014-3610,fastsocket,TP
CVE-2014-4943,fastsocket,TP
CVE-2020-36279,mobile-ffmpeg,TP
CVE-2021-21309,viabtc_exchange_server,FP
CVE-2020-15945,clink,FP
CVE-2020-24370,clink,TP
CVE-2020-15945,proxmark3,FP
CVE-2020-24370,proxmark3,TP
CVE-2021-21309,annotated_redis_source,FP
CVE-2020-14147,annotated_redis_source,TP
CVE-2014-0064,yugabyte-db,FP
CVE-2020-15945,zfs,FP
CVE-2020-24370,zfs,TP
CVE-2020-1916,php-src,FP
CVE-2021-24025,php-src,FP
CVE-2021-21309,rspamd,FP
CVE-2021-21309,disque,TP
CVE-2021-21309,webdis,TP
CVE-2020-11724,reading-code-of-nginx-1.9.2,TP
CVE-2018-16300,nexmon,TP
CVE-2020-11080,nexmon,FP
CVE-2020-24371,civetweb,FP
CVE-2020-15945,civetweb,FP
CVE-2020-24370,civetweb,TP
CVE-2020-14147,civetweb,TP
CVE-2013-0166,sl4a,TP
CVE-2014-3568,sl4a,TP
CVE-2014-0221,sl4a,TP
CVE-2014-3508,sl4a,TP
CVE-2014-8275,sl4a,TP
CVE-2015-0206,sl4a,TP
CVE-2015-0204,sl4a,TP
CVE-2020-13113,pyrebox,TP
CVE-2020-13112,pyrebox,TP
CVE-2020-5210,NetHack,FP
