CVE-ID,repoName,result,
CVE-2020-8231,kbengine,TP,
CVE-2022-32208,kbengine,TP,
CVE-2017-7468,kbengine,FP,
CVE-2018-1000120,kbengine,FP,
CVE-2021-22890,kbengine,FP,
CVE-2016-8623,kbengine,FP,
CVE-2016-0797,kbengine,TP,
CVE-2016-0799,kbengine,TP,
CVE-2016-0798,kbengine,TP,
CVE-2014-6272,ravynos,FP,
CVE-2023-1801,ravynos,FP,
CVE-2022-33099,ravynos,TP,
CVE-2020-15888,ravynos,FP,
CVE-2020-15945,ravynos,FP,
CVE-2020-24370,ravynos,TP,
CVE-2021-33657,simplest_ffmpeg_mobile,TP,
CVE-2019-7578,simplest_ffmpeg_mobile,TP,
CVE-2020-36279,tess-two,TP,
CVE-2022-38266,tess-two,TP,
CVE-2022-0156,vim.js,FP,
CVE-2022-2849,vim.js,TP,
CVE-2015-5224,android_bootable_recovery,TP,
CVE-2023-1801,PF_RING,TP,
CVE-2016-0797,minix,TP,
CVE-2016-0799,minix,TP,
CVE-2016-0798,minix,TP,
CVE-2022-33099,darktable,TP,
CVE-2021-32134,gpac,FP,
CVE-2023-1654,gpac,FP,
CVE-2021-31262,gpac,FP,
CVE-2020-8231,AliOS-Things,TP,
CVE-2022-32208,AliOS-Things,TP,
CVE-2017-7468,AliOS-Things,FP,
CVE-2021-22924,AliOS-Things,TP,
CVE-2021-22901,AliOS-Things,TP,
CVE-2022-22576,AliOS-Things,TP,
CVE-2021-22890,AliOS-Things,TP,
CVE-2016-8615,AliOS-Things,FP,
CVE-2022-23558,AliOS-Things,TP,
CVE-2021-33657,AliOS-Things,TP,
CVE-2021-32020,Arduino_STM32,TP,
CVE-2014-6272,proxydroid,TP,
CVE-2012-3505,proxychains-ng,TP,
CVE-2018-16872,panda,TP,
CVE-2017-9503,panda,TP,
CVE-2018-17963,panda,TP,
CVE-2021-3392,panda,TP,
CVE-2020-8231,premake-core,TP,
CVE-2022-32208,premake-core,TP,
CVE-2017-7468,premake-core,TP,
CVE-2018-1000120,premake-core,TP,
CVE-2016-8615,premake-core,FP,
CVE-2016-8623,premake-core,FP,
CVE-2020-11724,tengine,TP,
CVE-2021-43523,rt-n56u,TP,
CVE-2011-4352,rt-n56u,FP,
CVE-2012-2779,rt-n56u,TP,
CVE-2012-2800,rt-n56u,TP,
CVE-2020-12652,rt-n56u,TP,
CVE-2020-25669,rt-n56u,TP,
CVE-2021-3640,rt-n56u,FP,
CVE-2020-11609,rt-n56u,TP,
CVE-2020-28097,rt-n56u,TP,
CVE-2022-3586,rt-n56u,TP,
CVE-2022-36123,rt-n56u,TP,
CVE-2022-3424,rt-n56u,TP,
CVE-2022-42703,rt-n56u,TP,
CVE-2022-1974,rt-n56u,TP,
CVE-2018-1000004,rt-n56u,TP,
CVE-2017-7482,rt-n56u,TP,
CVE-2012-4398,rt-n56u,TP,
CVE-2018-10876,rt-n56u,TP,
CVE-2016-3857,rt-n56u,TP,
CVE-2018-10853,rt-n56u,TP,
CVE-2009-0787,rt-n56u,FP,
CVE-2016-8405,rt-n56u,TP,
CVE-2018-14633,rt-n56u,TP,
CVE-2022-33099,cosmopolitan,TP,
CVE-2021-32020,IronOS,TP,
CVE-2021-33657,dosbox-x,TP,
CVE-2019-7578,dosbox-x,TP,
CVE-2018-8788,FreeRDP,FP,
CVE-2022-33099,vifm,TP,
CVE-2015-1792,CloverBootloader,TP,
CVE-2015-3194,CloverBootloader,TP,
CVE-2015-0289,CloverBootloader,TP,
CVE-2014-8275,CloverBootloader,TP,
CVE-2015-3195,CloverBootloader,TP,
CVE-2016-0797,CloverBootloader,TP,
CVE-2016-0799,CloverBootloader,TP,
CVE-2015-1788,CloverBootloader,TP,
CVE-2019-14559,CloverBootloader,TP,
CVE-2015-1789,CloverBootloader,TP,
CVE-2016-0798,CloverBootloader,TP,
CVE-2014-3508,CloverBootloader,TP,
CVE-2020-22021,yjPlay,TP,
CVE-2015-5224,Team-Win-Recovery-Project,TP,
CVE-2021-32020,ElectronBot,TP,
CVE-2013-2236,LVS,TP,
CVE-2020-12652,LVS,TP,
CVE-2020-25669,LVS,TP,
CVE-2021-3640,LVS,FP,
CVE-2020-11609,LVS,FP,
CVE-2020-28097,LVS,TP,
CVE-2022-36123,LVS,TP,
CVE-2022-3424,LVS,TP,
CVE-2023-2513,LVS,TP,
CVE-2015-5157,LVS,TP,
CVE-2015-1593,LVS,TP,
CVE-2012-1179,LVS,TP,
CVE-2018-1000004,LVS,TP,
CVE-2013-4299,LVS,TP,
CVE-2016-3857,LVS,TP,
CVE-2015-7799,LVS,TP,
CVE-2013-0160,LVS,TP,
CVE-2016-8405,LVS,TP,
CVE-2009-0787,LVS,FP,
CVE-2020-14375,f-stack,FP,
CVE-2022-33099,xLua,FP,
CVE-2021-32020,amazon-freertos,TP,
CVE-2022-33099,freebsd-src,TP,
CVE-2020-12652,WSL2-Linux-Kernel,FP,
CVE-2020-28097,WSL2-Linux-Kernel,FP,
CVE-2021-33624,WSL2-Linux-Kernel,FP,
CVE-2021-38204,WSL2-Linux-Kernel,FP,
CVE-2021-38206,WSL2-Linux-Kernel,FP,
CVE-2023-2006,WSL2-Linux-Kernel,FP,
CVE-2022-47942,WSL2-Linux-Kernel,FP,
CVE-2022-3586,WSL2-Linux-Kernel,FP,
CVE-2023-0030,WSL2-Linux-Kernel,FP,
CVE-2023-1998,WSL2-Linux-Kernel,FP,
CVE-2022-1852,WSL2-Linux-Kernel,FP,
CVE-2022-42703,WSL2-Linux-Kernel,FP,
CVE-2022-47943,WSL2-Linux-Kernel,FP,
CVE-2022-1974,WSL2-Linux-Kernel,FP,
CVE-2022-44789,sumatrapdf,TP,
CVE-2016-3857,fastsocket,TP,
CVE-2015-5157,fastsocket,TP,
CVE-2020-25669,fastsocket,TP,
CVE-2015-1805,fastsocket,TP,
CVE-2020-12652,fastsocket,TP,
CVE-2015-1593,fastsocket,TP,
CVE-2022-3424,fastsocket,TP,
CVE-2018-1000004,fastsocket,TP,
CVE-2016-8405,fastsocket,TP,
CVE-2009-0787,fastsocket,FP,
CVE-2015-7799,fastsocket,TP,
CVE-2013-0160,fastsocket,TP,
CVE-2018-10876,fastsocket,TP,
CVE-2022-36123,fastsocket,FP,
CVE-2021-32020,EasyLogger,TP,
CVE-2021-33657,awtk,TP,
CVE-2019-7578,awtk,TP,
CVE-2023-31470,smartdns,FP,
CVE-2022-23308,mobile-ffmpeg,TP,
CVE-2021-46822,mobile-ffmpeg,TP,
CVE-2022-38266,mobile-ffmpeg,TP,
CVE-2020-36279,mobile-ffmpeg,TP,
CVE-2021-33657,mobile-ffmpeg,TP,
CVE-2019-7578,mobile-ffmpeg,TP,
CVE-2014-3616,nginx-releases,TP,
CVE-2020-22021,Telegram-iOS,TP,
CVE-2021-46822,Telegram-iOS,TP,
CVE-2021-33657,permafrost-engine,TP,
CVE-2020-11724,reading-code-of-nginx-1.9.2,TP,
CVE-2014-3616,reading-code-of-nginx-1.9.2,TP,
CVE-2021-32020,Dummy-Robot,TP,
CVE-2022-33099,nmap,TP,
CVE-2022-0156,macvim,FP,
CVE-2022-2849,macvim,FP,
CVE-2017-12897,nexmon,FP,
CVE-2017-12898,nexmon,FP,
CVE-2017-12990,nexmon,FP,
CVE-2017-13022,nexmon,FP,
CVE-2017-13039,nexmon,FP,
CVE-2017-13040,nexmon,FP,
CVE-2017-13690,nexmon,FP,
CVE-2016-7934,nexmon,FP,
CVE-2016-7993,nexmon,FP,
CVE-2022-23308,nexmon,TP,
CVE-2022-33099,civetweb,TP,
CVE-2011-4577,sl4a,TP,
CVE-2012-2110,sl4a,TP,
CVE-2016-0797,sl4a,TP,
CVE-2016-0799,sl4a,FP,
CVE-2014-8275,sl4a,TP,
CVE-2020-13112,pyrebox,TP,
CVE-2021-3392,pyrebox,TP,
CVE-2021-29605,Espruino,TP,
CVE-2021-45958,catboost,TP,
